Review_key,Time_Dimension_key,Buyer_key,Seller_key,Product_key,Clarity,Creativiy,Thoroughnes,Practicality,Accuracy,Overall,Total Quality,Feedback
RK1,TD1,MK2,MK1,PK1,4,4,4,4,4,4,4,Good Material
RK2,TD1,MK2,MK5,PK2,3,3,4,4,4,4,4,Nice Material
RK3,TD1,MK2,MK1,PK3,2,2,2,2,2,2,2,Bad Quality
RK4,TD2,MK2,MK10,PK5,4,4,4,4,4,4,4,Excellent
RK5,TD2,MK2,MK9,PK8,4,4,4,4,4,3,4,Awesome
RK6,TD3,MK4,MK1,PK1,1,2,1,1,2,2,2,Poor Quality
RK7,TD4,MK1,MK5,PK2,4,4,4,4,4,3,4,Great Material
RK8,TD5,MK8,MK7,PK6,3,3,3,4,3,3,3,Nice Product
RK9,TD5,MK8,MK5,PK10,4,4,4,4,4,4,4,Very Informative Product
RK10,TD6,MK9,MK5,PK10,1,2,1,3,2,2,2,This is not a valuable product
